<http://dbpedia.org/resource/The_Dick_Cavett_Show>,http://dbpedia.org/property/prev,1970,0.02,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/The_Dick_Cavett_Show>,http://dbpedia.org/property/list,1970,0.01,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Medical_Center_(TV_series)>,http://dbpedia.org/property/prev,1970,0.02,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Medical_Center_(TV_series)>,http://dbpedia.org/property/list,1970,0.01,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/All_in_the_Family>,http://dbpedia.org/property/prev,1971,0.02,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/All_in_the_Family>,http://dbpedia.org/property/list,1971,0.01,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Dan_August>,http://dbpedia.org/property/prev,1971,0.02,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Dan_August>,http://dbpedia.org/property/list,1971,0.01,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/David_Susskind_Show>,http://dbpedia.org/property/prev,1971,0.02,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/David_Susskind_Show>,http://dbpedia.org/property/list,1971,0.01,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Room_222>,http://dbpedia.org/property/prev,1971,0.02,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Room_222>,http://dbpedia.org/property/list,1971,0.01,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Vanished>,http://dbpedia.org/property/prev,1971,0.02,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Vanished>,http://dbpedia.org/property/list,1971,0.01,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/The_Bold_Ones:_The_New_Doctors>,http://dbpedia.org/property/prev,1972,0.02,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/The_Bold_Ones:_The_New_Doctors>,http://dbpedia.org/property/list,1972,0.01,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/The_Bold_Ones:_The_New_Doctors>,http://dbpedia.org/property/prev,1972,0.02,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/The_Bold_Ones:_The_New_Doctors>,http://dbpedia.org/property/list,1972,0.01,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Hawaii_Five-O>,http://dbpedia.org/property/prev,1972,0.02,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Hawaii_Five-O>,http://dbpedia.org/property/list,1972,0.01,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Owen_Marshall:_Counselor_at_Law>,http://dbpedia.org/property/prev,1972,0.02,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Owen_Marshall:_Counselor_at_Law>,http://dbpedia.org/property/list,1972,0.01,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Sanford_and_Son>,http://dbpedia.org/property/prev,1972,0.02,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Sanford_and_Son>,http://dbpedia.org/property/list,1972,0.01,List of 1970s American television episodes with LGBT themes
"<http://dbpedia.org/resource/Marcus_Welby,_M.D.>",http://dbpedia.org/property/prev,1973,0.02,List of 1970s American television episodes with LGBT themes
"<http://dbpedia.org/resource/Marcus_Welby,_M.D.>",http://dbpedia.org/property/list,1973,0.01,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Mary_Tyler_Moore_Show>,http://dbpedia.org/property/prev,1973,0.02,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Mary_Tyler_Moore_Show>,http://dbpedia.org/property/list,1973,0.01,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Medical_Center_(TV_series)>,http://dbpedia.org/property/prev,1973,0.02,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Medical_Center_(TV_series)>,http://dbpedia.org/property/list,1973,0.01,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Sanford_and_Son>,http://dbpedia.org/property/prev,1973,0.02,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Sanford_and_Son>,http://dbpedia.org/property/list,1973,0.01,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/The_Streets_of_San_Francisco>,http://dbpedia.org/property/prev,1973,0.02,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/The_Streets_of_San_Francisco>,http://dbpedia.org/property/list,1973,0.01,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Columbo_(TV_series)>,http://dbpedia.org/property/prev,1974,0.02,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Columbo_(TV_series)>,http://dbpedia.org/property/list,1974,0.01,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Harry_O>,http://dbpedia.org/property/prev,1974,0.02,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Harry_O>,http://dbpedia.org/property/list,1974,0.01,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Lou_Gordon_(journalist)>,http://dbpedia.org/property/prev,1974,0.02,List of 1970s American television episodes with LGBT themes
<http://dbpedia.org/resource/Lou_Gordon_(journalist)>,http://dbpedia.org/property/list,1974,0.01,List of 1970s American television episodes with LGBT themes
"<http://dbpedia.org/resource/Marcus_Welby,_M.D.>",http://dbpedia.org/property/prev,1974,0.02,List of 1970s American television episodes with LGBT themes
"<http://dbpedia.org/resource/Marcus_Welby,_M.D.>",http://dbpedia.org/property/list,1974,0.01,List of 1970s American television episodes with LGBT themes
