,Unnamed: 0,subject,predicate,object,certainty,page
16024,295,db:United_States_at_the_1952_Winter_Olympics,dbprop:silver,0,0.28,List of 1952 Winter Olympics medal winners
50463,2370,db:Stade_du_Pays_de_Charleroi,dbprop:owner,db:R._Charleroi_S.C.,0.33,List of European stadiums by capacity
43034,600,db:College_(30_Rock),dbo:writer,Josh Siegal & Dylan Morgan,0.27,List of 30 Rock episodes
38756,6117,db:Write_It_On_Your_Skin,dbprop:award,Silver,0.21,List of UK Albums Chart number ones of the 2010s
38761,6122,db:Our_Version_of_Events,dbprop:award,7× Platinum,0.21,List of UK Albums Chart number ones of the 2010s
16602,170,db:Austria_at_the_1956_Winter_Olympics,dbprop:rank,0,0.21,List of 1956 Winter Olympics medal winners
44059,728,db:Kyotaro_Nishimura,dbo:publisher,db:Pack-In-Video,0.24,List of 3DO Interactive Multiplayer games
50034,1941,"db:Stade_de_Suisse,_Wankdorf",dbprop:owner,db:BSC_Young_Boys,0.33,List of European stadiums by capacity
23722,3400,db:The_Lion_Sleeps_Tonight,dbo:writer,db:Tight_Fit,0.24,List of UK Singles Chart number ones of the 1980s
26398,10,db:Cars_(film),dbprop:distributor,db:Pixar,0.4,2006 in film
38726,6087,db:4_(Beyonc%C3%A9_Knowles_album),dbprop:award,2× Platinum,0.21,List of UK Albums Chart number ones of the 2010s
17685,806,db:(We_Ain%27t_Got)_Nothin%27_Yet,dbo:musicalBand,db:Blues_Magoos,0.22,List of 1960s one-hit wonders in the United States
50432,2339,db:Valley_Parade,dbo:owner,db:Bradford_City_A.F.C.,0.33,List of European stadiums by capacity
17549,670,db:Concrete_and_Clay,dbo:musicalArtist,db:Unit_4_%2B_2,0.31,List of 1960s one-hit wonders in the United States
43098,664,db:St._Patrick%27s_Day_(30_Rock),dbo:director,John Riggi,0.29,List of 30 Rock episodes
49936,1843,db:Khimik_Stadium_(Kemerovo),dbprop:owner,HC Kuzbass,0.33,List of European stadiums by capacity
24570,319,db:Champion_(Chipmunk_song),dbprop:artist,db:Chipmunk_(rapper),0.37,List of 1Xtra Chart number-one singles of the 2010s
51075,2982,db:M%C3%B6nchengladbach,dbprop:subdivisionName,db:Germany,0.33,List of European stadiums by capacity
49627,1534,db:RheinEnergieStadion,dbprop:owner,db:1._FC_K%C3%B6ln,0.33,List of European stadiums by capacity
50387,2294,db:Yuvileiny_Stadium,dbo:owner,db:FC_Spartak_Sumy,0.33,List of European stadiums by capacity
27053,26,db:Darrick_Martin,dbprop:cteam,db:Minnesota_Timberwolves,0.29,List of 2009–10 NBA season transactions
50473,2380,db:Dreisamstadion,dbo:owner,db:SC_Freiburg,0.33,List of European stadiums by capacity
26469,49,db:Jason_Smith_(American_basketball),dbo:team,db:Miami_Heat,0.23,List of 2007–08 NBA season transactions
15723,2,db:Nat_Militzok,dbprop:team,db:Toronto_Huskies,0.25,List of 1946–47 BAA season transactions
17691,812,db:Stand_By_Me_(song),dbo:musicalArtist,db:Spyder_Turner,0.22,List of 1960s one-hit wonders in the United States
28528,416,db:Ukraine_at_the_2010_Winter_Paralympics,dbo:wikiPageInLinkCountCleaned,3,0.28,List of 2010 Winter Paralympics medal winners
49740,1647,db:Stade_Geoffroy-Guichard,dbo:owner,db:AS_Saint-%C3%89tienne,0.33,List of European stadiums by capacity
20203,969,"db:Don%27t_Worry,_Be_Happy",dbprop:artist,db:Bobby_McFerrin,0.38,List of 1980s one-hit wonders in the United States
43086,652,db:The_Tuxedo_Begins,dbo:director,John Riggi,0.29,List of 30 Rock episodes
43018,584,db:TGS_Hates_Women,dbprop:director,Beth McCarthy-Miller,0.36,List of 30 Rock episodes
38835,6196,db:In_the_Lonely_Hour,dbprop:award,5× Platinum,0.21,List of UK Albums Chart number ones of the 2010s
28584,472,db:France_at_the_2010_Winter_Paralympics,dbo:wikiPageInLinkCountCleaned,2,0.28,List of 2010 Winter Paralympics medal winners
